
[500] : 73.500000,  75.140625  (1.640625)
[501] : 36.968750,  36.968750  (0.000000)
[502] : 59.468750,  54.375000  (-5.093750)
[503] : 35.093750,  35.750000  (0.656250)
[504] : 33.687500,  30.921875  (-2.765625)
[505] : 41.328125,  41.328125  (0.000000)
[506] : 197.125000,  197.203125  (0.078125)
[507] : 156.437500,  156.156250  (-0.281250)
[508] : 69.171875,  69.468750  (0.296875)
[509] : 46.734375,  43.390625  (-3.343750)
[510] : 52.671875,  52.843750  (0.171875)
[511] : 55.796875,  56.437500  (0.640625)
[512] : 196.828125,  197.812500  (0.984375)
[513] : 140.296875,  186.625000  (46.328125)
[514] : 177.296875,  175.500000  (-1.796875)
[515] : 262.421875,  262.859375  (0.437500)
[516] : 6.453125,  5.468750  (-0.984375)
[517] : 16.750000,  16.765625  (0.015625)
[518] : 61.921875,  60.046875  (-1.875000)
[519] : 94.281250,  90.234375  (-4.046875)
[520] : 122.000000,  120.906250  (-1.093750)
[521] : 57.781250,  55.656250  (-2.125000)
[522] : 56.125000,  54.015625  (-2.109375)
[523] : 48.484375,  45.640625  (-2.843750)
[524] : 187.968750,  196.390625  (8.421875)
[525] : 78.859375,  78.968750  (0.109375)
[526] : 55.390625,  59.234375  (3.843750)
[527] : 44.390625,  43.015625  (-1.375000)
[528] : 62.156250,  60.421875  (-1.734375)
[529] : 51.984375,  51.906250  (-0.078125)
[530] : 25.468750,  24.890625  (-0.578125)
[531] : 30.203125,  29.750000  (-0.453125)
[532] : 27.000000,  27.000000  (0.000000)
[533] : 121.406250,  121.375000  (-0.031250)
[534] : 122.703125,  163.828125  (41.125000)
[535] : 55.078125,  55.078125  (0.000000)
[536] : 26.218750,  23.765625  (-2.453125)
[537] : 5.703125,  5.703125  (0.000000)
[538] : 15.656250,  15.656250  (0.000000)
[539] : 2.015625,  2.015625  (0.000000)
[540] : 4.671875,  4.671875  (0.000000)
[541] : 2.562500,  2.562500  (0.000000)
[542] : 4.531250,  4.531250  (0.000000)
[543] : 27.750000,  27.671875  (-0.078125)
[544] : 267.156250,  268.890625  (1.734375)
[545] : 180.953125,  183.875000  (2.921875)
[546] : 35.812500,  35.609375  (-0.203125)
[547] : 172.718750,  181.765625  (9.046875)
[548] : 206.312500,  205.062500  (-1.250000)
[549] : 148.718750,  147.562500  (-1.156250)
[550] : 221.281250,  223.609375  (2.328125)
[551] : 195.234375,  214.640625  (19.406250)
[552] : 116.281250,  108.406250  (-7.875000)
[553] : 16.781250,  16.781250  (0.000000)
[554] : 181.781250,  380.984375  (199.203125)
[555] : 63.703125,  125.953125  (62.250000)
[556] : 115.046875,  112.500000  (-2.546875)
[557] : 171.656250,  169.640625  (-2.015625)
[558] : 152.500000,  152.703125  (0.203125)
[559] : 122.921875,  367.187500  (244.265625)
[560] : 139.578125,  140.187500  (0.609375)
[561] : 190.640625,  190.265625  (-0.375000)
[562] : 124.031250,  124.921875  (0.890625)
[563] : 13.328125,  13.328125  (0.000000)
[564] : 14.890625,  9.812500  (-5.078125)
[565] : 231.875000,  235.859375  (3.984375)
[566] : 10.187500,  8.406250  (-1.781250)
[567] : 22.828125,  22.843750  (0.015625)
[568] : 13.093750,  13.093750  (0.000000)
[569] : 5.625000,  5.578125  (-0.046875)
[570] : 3.796875,  3.796875  (0.000000)
[571] : 6.515625,  6.515625  (0.000000)
[572] : 13.015625,  13.015625  (0.000000)
[573] : 1.687500,  1.687500  (0.000000)
[574] : 2.828125,  2.828125  (0.000000)
[575] : 8.703125,  7.968750  (-0.734375)
[576] : 245.640625,  256.093750  (10.453125)
[577] : 164.765625,  366.843750  (202.078125)
[578] : 52.234375,  52.250000  (0.015625)
[579] : 248.562500,  247.718750  (-0.843750)
[580] : 154.703125,  151.578125  (-3.125000)
[581] : 154.171875,  151.968750  (-2.203125)
[582] : 316.578125,  319.156250  (2.578125)
[583] : 217.531250,  216.718750  (-0.812500)
[584] : 158.031250,  193.187500  (35.156250)
[585] : 124.781250,  124.906250  (0.125000)
[586] : 132.187500,  133.031250  (0.843750)
[587] : 57.687500,  71.218750  (13.531250)
[588] : 145.656250,  145.265625  (-0.390625)
[589] : 69.531250,  109.890625  (40.359375)
[590] : 124.593750,  124.406250  (-0.187500)
[591] : 91.015625,  94.015625  (3.000000)
[592] : 260.812500,  392.500000  (131.687500)
[593] : 238.671875,  263.609375  (24.937500)
[594] : 168.375000,  171.562500  (3.187500)
[595] : 103.281250,  103.281250  (0.000000)
[596] : 33.968750,  67.640625  (33.671875)
[597] : 68.312500,  69.906250  (1.593750)
