[384] : 331.796875,  398.562500  (66.765625)
[385] : 34.531250,  30.203125  (-4.328125)
[386] : 38.281250,  38.281250  (0.000000)
[387] : 336.296875,  336.875000  (0.578125)
[388] : 512.843750,  520.421875  (7.578125)
[389] : 594.375000,  597.140625  (2.765625)
[390] : 834.296875,  838.437500  (4.140625)
[391] : 679.265625,  660.125000  (-19.140625)
[392] : 95.453125,  98.593750  (3.140625)
[393] : 203.250000,  202.453125  (-0.796875)
[394] : 40.984375,  34.375000  (-6.609375)
[395] : 40.484375,  30.875000  (-9.609375)
[396] : 25.250000,  25.250000  (0.000000)
[397] : 17.171875,  17.031250  (-0.140625)
[398] : 42.687500,  42.546875  (-0.140625)
[399] : 29.156250,  29.156250  (0.000000)
[400] : 29.593750,  29.593750  (0.000000)
[401] : 19.640625,  19.750000  (0.109375)
[402] : 25.390625,  16.390625  (-9.000000)
[403] : 26.250000,  26.156250  (-0.093750)
[404] : 124.531250,  125.109375  (0.578125)
[405] : 362.703125,  375.546875  (12.843750)
[406] : 98.203125,  94.796875  (-3.406250)
[407] : 297.765625,  287.562500  (-10.203125)
[408] : 221.828125,  218.187500  (-3.640625)
[409] : 110.390625,  110.859375  (0.468750)
[410] : 46.937500,  41.953125  (-4.984375)
[411] : 32.109375,  33.718750  (1.609375)
[412] : 6.484375,  6.484375  (0.000000)
[413] : 31.750000,  31.750000  (0.000000)
[414] : 11.156250,  11.156250  (0.000000)
[415] : 46.734375,  46.562500  (-0.171875)
[416] : 279.546875,  274.078125  (-5.468750)
[417] : 6.828125,  6.828125  (0.000000)
[418] : 36.531250,  29.625000  (-6.906250)
[419] : 454.671875,  450.687500  (-3.984375)
[420] : 257.937500,  265.546875  (7.609375)
[421] : 537.343750,  535.015625  (-2.328125)
[422] : 352.296875,  352.046875  (-0.250000)
[423] : 324.296875,  322.718750  (-1.578125)
[424] : 81.812500,  87.062500  (5.250000)
[425] : 254.250000,  264.453125  (10.203125)
[426] : 209.531250,  207.781250  (-1.750000)
[427] : 347.078125,  346.093750  (-0.984375)
[428] : 390.234375,  367.234375  (-23.000000)
[429] : 424.218750,  425.609375  (1.390625)
[430] : 313.234375,  307.250000  (-5.984375)
[431] : 261.453125,  257.171875  (-4.281250)
[432] : 303.968750,  303.968750  (0.000000)
[433] : 129.937500,  109.843750  (-20.093750)
[434] : 220.156250,  220.656250  (0.500000)
[435] : 171.343750,  203.421875  (32.078125)
[436] : 222.609375,  213.312500  (-9.296875)
[437] : 381.968750,  363.718750  (-18.250000)
[438] : 400.140625,  403.562500  (3.421875)
