   DCT only, opt basis No.6 (MSE)
[528] : 11.421875,  11.625000
[529] : 16.531250,  16.796875
[530] : 13.125000,  13.484375
[531] : 12.593750,  12.453125
[532] : 12.343750,  12.343750
[533] : 30.437500,  31.250000
[534] : 32.796875,  81.015625
[535] : 15.390625,  15.390625
[536] : 12.828125,  11.656250
[537] : 2.890625,  2.890625
[538] : 9.281250,  9.281250
[539] : 2.015625,  2.015625
[540] : 2.859375,  2.859375
[541] : 2.562500,  2.562500
[542] : 2.218750,  2.218750
[543] : 7.640625,  7.656250
[544] : 46.859375,  49.156250
[545] : 32.812500,  35.046875
[546] : 16.515625,  16.500000
[547] : 24.250000,  41.796875
[548] : 35.171875,  37.796875
[549] : 39.125000,  46.031250
[550] : 60.921875,  80.343750
[551] : 31.953125,  87.796875
[552] : 36.031250,  38.375000
[553] : 7.140625,  7.140625
[554] : 32.906250,  303.671875
[555] : 19.500000,  108.593750
[556] : 28.687500,  28.234375
[557] : 24.843750,  25.046875
[558] : 25.031250,  25.234375
[559] : 31.109375,  318.625000
[560] : 29.140625,  29.343750
[561] : 42.187500,  42.312500
[562] : 41.328125,  41.125000
[563] : 7.109375,  7.109375
[564] : 5.531250,  12.890625
[565] : 20.156250,  23.515625
[566] : 3.500000,  3.187500
[567] : 2.984375,  3.031250
[568] : 4.500000,  4.500000
[569] : 2.406250,  2.515625
[570] : 1.750000,  1.750000
[571] : 1.078125,  1.078125
[572] : 3.234375,  3.234375
[573] : 1.687500,  1.687500
[574] : 1.859375,  1.859375
[575] : 6.468750,  7.078125
[576] : 39.140625,  44.531250
[577] : 33.515625,  249.187500
[578] : 15.875000,  15.890625
[579] : 47.250000,  50.375000
[580] : 41.531250,  45.031250
[581] : 34.062500,  34.484375
[582] : 41.812500,  55.578125
[583] : 40.500000,  40.281250
[584] : 28.062500,  85.250000
[585] : 26.000000,  26.000000
[586] : 30.359375,  37.203125
[587] : 15.281250,  32.312500
[588] : 35.687500,  35.578125
[589] : 30.859375,  106.281250
[590] : 35.343750,  36.281250
[591] : 25.187500,  26.875000
[592] : 34.687500,  160.968750
[593] : 43.609375,  67.109375
[594] : 26.578125,  29.546875
[595] : 24.250000,  24.250000
[596] : 15.187500,  44.078125
[597] : 19.593750,  20.968750
[598] : 4.531250,  4.546875
[599] : 1.765625,  1.828125
[600] : 3.156250,  3.156250
[601] : 29.609375,  29.812500
[602] : 8.828125,  8.468750
[603] : 1.265625,  1.390625
[604] : 1.796875,  1.812500
[605] : 1.125000,  1.140625
[606] : 1.109375,  1.109375
[607] : 4.953125,  4.375000
[608] : 36.437500,  56.203125
[609] : 29.328125,  31.187500
[610] : 20.453125,  20.265625
[611] : 29.531250,  29.671875
