
basis : 14, 39, 59
 [213]  dct:10.250000  a:10.375000  b:10.250000  c:10.250000   (0)    [14]:-0.347488, [39]:-0.037553, [59]:-0.045761
 [222]  dct:5.937500  a:5.937500  b:5.937500  c:4.515625   (3)    [14]:-0.052031, [39]:0.186034, [59]:-0.170412
 [224]  dct:28.734375  a:28.734375  b:24.328125  c:27.140625   (2)    [14]:0.026937, [39]:-0.759408, [59]:-0.603827
 [225]  dct:6.218750  a:6.218750  b:6.218750  c:5.953125   (3)    [14]:-0.150799, [39]:0.129253, [59]:-0.191457
 [226]  dct:10.984375  a:10.984375  b:9.078125  c:10.984375   (2)    [14]:0.011670, [39]:0.581347, [59]:-0.108018
 [228]  dct:10.953125  a:10.953125  b:10.953125  c:10.953125   (0)    [14]:0.228478, [39]:-0.112995, [59]:-0.001026
 [231]  dct:7.875000  a:7.875000  b:7.875000  c:8.031250   (0)    [14]:-0.083877, [39]:-0.060598, [59]:-0.279200
 [233]  dct:13.343750  a:13.343750  b:13.343750  c:13.343750   (0)    [14]:0.117369, [39]:-0.068814, [59]:0.089198
 [235]  dct:6.687500  a:6.687500  b:6.687500  c:6.687500   (0)    [14]:0.050730, [39]:-0.024395, [59]:0.057222
 [237]  dct:17.484375  a:16.375000  b:16.437500  c:17.484375   (1)    [14]:-0.556365, [39]:0.433646, [59]:0.059248
 [238]  dct:10.921875  a:10.921875  b:10.921875  c:10.921875   (0)    [14]:0.000565, [39]:0.125760, [59]:0.126420
 [239]  dct:7.750000  a:7.750000  b:7.750000  c:7.750000   (0)    [14]:-0.016779, [39]:0.190021, [59]:0.058247
 [242]  dct:10.968750  a:10.968750  b:10.968750  c:8.796875   (3)    [14]:0.211258, [39]:-0.076416, [59]:-0.286317
 [246]  dct:9.421875  a:9.421875  b:9.421875  c:9.062500   (3)    [14]:-0.177137, [39]:0.213704, [59]:-0.193240
 [248]  dct:7.843750  a:7.843750  b:7.734375  c:7.843750   (2)    [14]:-0.160722, [39]:0.239879, [59]:-0.086985
 [249]  dct:4.531250  a:4.375000  b:4.531250  c:4.156250   (3)    [14]:-0.288083, [39]:0.060884, [59]:-0.203126
 [252]  dct:6.156250  a:6.156250  b:6.156250  c:6.156250   (0)    [14]:0.273454, [39]:0.065152, [59]:0.028710
 [256]  dct:29.718750  a:29.718750  b:27.781250  c:30.218750   (2)    [14]:-0.236078, [39]:-0.563440, [59]:-0.540348
 [257]  dct:149.296875  a:148.140625  b:157.781250  c:160.875000   (1)    [14]:1.665490, [39]:2.362205, [59]:-1.226747
 [258]  dct:94.093750  a:92.765625  b:94.046875  c:96.000000   (1)    [14]:-0.651072, [39]:1.281684, [59]:1.854382
 [259]  dct:106.046875  a:110.953125  b:104.593750  c:104.031250   (3)    [14]:-2.033757, [39]:0.620049, [59]:0.478425
 [260]  dct:153.390625  a:153.296875  b:153.390625  c:150.265625   (3)    [14]:-0.231799, [39]:0.111197, [59]:0.429632
 [261]  dct:81.171875  a:81.171875  b:82.656250  c:81.171875   (0)    [14]:0.189667, [39]:-1.200136, [59]:-0.030372
